concat("https://git.educoder.net/", m.repo_name, ".git")	shixun_id	name
https://git.educoder.net/m13405269/pxlsuotc.git	93	C++之do-while循环性质
https://git.educoder.net/p93702841/hawxspqm.git	81	C++之Switch控制语句编程实训
https://git.educoder.net/p71692405/zlg2nmcf.git	70	数据结构与算法-线性表
https://git.educoder.net/p01395746/zlg2nmcf.git	70	数据结构与算法-线性表
https://git.educoder.net/p73946012/zlg2nmcf.git	70	数据结构与算法-线性表
https://git.educoder.net/p57361280/zlg2nmcf.git	70	数据结构与算法-线性表
https://git.educoder.net/p29187640/zlg2nmcf.git	70	数据结构与算法-线性表
https://git.educoder.net/p61370285/zlg2nmcf.git	70	数据结构与算法-线性表
https://git.educoder.net/p28379146/zlg2nmcf.git	70	数据结构与算法-线性表
https://git.educoder.net/p08654319/zlg2nmcf.git	70	数据结构与算法-线性表
https://git.educoder.net/lilichenzz/vtnag4op.git	208	数据结构与算法-树
https://git.educoder.net/p70486935/zlg2nmcf.git	70	数据结构与算法-线性表
https://git.educoder.net/p28360159/zlg2nmcf.git	70	数据结构与算法-线性表
https://git.educoder.net/p47618920/fp6cmstz.git	57	C++之if-else基本应用
https://git.educoder.net/m54186920/nuj9lbwv.git	97	C++之递归函数应用（I）
https://git.educoder.net/p40257896/zlg2nmcf.git	70	数据结构与算法-线性表
https://git.educoder.net/p78013652/zlg2nmcf.git	70	数据结构与算法-线性表
https://git.educoder.net/p97306582/o7pr4f6v.git	54	C++之整数基本应用（II）
https://git.educoder.net/p26841093/zlg2nmcf.git	70	数据结构与算法-线性表
https://git.educoder.net/p84916270/zlg2nmcf.git	70	数据结构与算法-线性表
https://git.educoder.net/p30285691/zlg2nmcf.git	70	数据结构与算法-线性表
https://git.educoder.net/p57168304/zlg2nmcf.git	70	数据结构与算法-线性表
https://git.educoder.net/p73648510/zlg2nmcf.git	70	数据结构与算法-线性表
https://git.educoder.net/p57320894/zlg2nmcf.git	70	数据结构与算法-线性表
https://git.educoder.net/p18259430/zlg2nmcf.git	70	数据结构与算法-线性表
https://git.educoder.net/p65012398/zlg2nmcf.git	70	数据结构与算法-线性表
